norm_path	hits	max_list_len
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression.SideUpgrades[].Rewards	1836	13
definition_snapshot.Interlock.ResearchUnlockManager.Mode.Islands.Trains.Navigation.Rails	36	13
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression.Levels	36	13
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression._Levels	36	13
definition_snapshot.TrainIslands.Navigation.Rails	2	13
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Method.ReflectedTypeInternal.BaseType.DeclaredMembers	46	12
definition_snapshot.ConnectableSimulations[].Simulation.InputLanes	32	12
definition_snapshot.ConnectableSimulations[].Simulation.NextBundle	32	12
definition_snapshot.ConnectableSimulations[].Simulation._NextBundle	32	12
definition_snapshot.ConnectableSimulations[].TileConnectors	32	12
simulation_parameters.ConnectableSimulations[].Simulation.InputLanes	32	12
simulation_parameters.ConnectableSimulations[].Simulation.NextBundle	32	12
simulation_parameters.ConnectableSimulations[].Simulation._NextBundle	32	12
simulation_parameters.ConnectableSimulations[].TileConnectors	32	12
definition_snapshot.Logger.Info.LogAction.Method.ReflectedTypeInternal.BaseType.DeclaredMembers	8	12
definition_snapshot.ConnectableSimulations[].Building.Definition.IEntityDefinition.CustomData.All	2	12
definition_snapshot.ConnectableSimulations[].Building.Definition.IEntityDefinition.CustomData.CustomData	2	12
definition_snapshot.ConnectableSimulations[].Simulation.DemandComparison.Method.ReflectedTypeInternal.DeclaredFields	2	12
